"NET_INCOME","OP_PROFIT_LOSS","TRANS_REV_PAX","PROP_FREIGHT","PROP_BAG","RES_CANCEL_FEES","MISC_OP_REV","TRANS_REVENUE","OP_REVENUES","FLYING_OPS","MAINTENANCE","PAX_SERVICE","AIRCFT_SERVICES","GENERAL_ADMIN","DEPREC_AMORT","TRANS_EXPENSES","OP_EXPENSES","INCOME_PRE_TAX","AIRLINE_ID","UNIQUE_CARRIER","UNIQUE_CARRIER_NAME","CARRIER_NAME","UNIQUE_CARRIER_ENTITY","REGION","YEAR","QUARTER",
-392212.00,-618716.00,,462011.00,,,1137.00,1513665.00,1985316.00,207151.00,89999.00,,262472.00,141479.00,49337.00,1803231.00,2604032.00,-469334.00,20107,"FX","Federal Express Corporation","Federal Express Corporation","16196","A",2019,2,
-384441.00,-617926.00,,504293.00,,,845.00,1514804.00,2034978.00,210015.00,187921.00,,262979.00,172806.00,51197.00,1711525.00,2652904.00,-500021.00,20107,"FX","Federal Express Corporation","Federal Express Corporation","16196","A",2019,4,
-309146.00,-610020.00,,471623.00,,,1187.00,1485315.00,1969880.00,204111.00,136150.00,,261031.00,143557.00,51134.00,1732621.00,2579900.00,-389683.00,20107,"FX","Federal Express Corporation","Federal Express Corporation","16196","A",2019,3,
-299806.00,-308655.00,,493415.00,,,13714.00,594476.00,1105672.00,255218.00,102259.00,,194433.00,149958.00,62412.00,618503.00,1414327.00,-368427.00,20107,"FX","Federal Express Corporation","Federal Express Corporation","16197","P",2019,4,
-276899.00,-273748.00,,467875.00,,,24002.00,625588.00,1118098.00,253729.00,88117.00,,187679.00,128887.00,58088.00,643921.00,1391846.00,-350172.00,20107,"FX","Federal Express Corporation","Federal Express Corporation","16197","P",2019,2,
-247223.00,-503503.00,,464570.00,,,1544.00,1611064.00,2087890.00,197313.00,87097.00,,252475.00,125766.00,48122.00,1833615.00,2591393.00,-304517.00,20107,"FX","Federal Express Corporation","Federal Express Corporation","16196","A",2019,1,
-229686.00,-228386.00,,520501.00,,,11785.00,598889.00,1133763.00,248597.00,114811.00,,190561.00,128393.00,59903.00,590975.00,1362149.00,-290183.00,20107,"FX","Federal Express Corporation","Federal Express Corporation","16197","P",2019,3,
-205106.48,-251094.56,0.00,159361.54,0.00,0.00,12964.49,0.00,392096.40,186060.81,62002.49,10812.34,45779.31,303184.09,28082.47,186.20,643190.96,-247575.00,20007,"5Y","Atlas Air Inc.","Atlas Air Inc.","16087","I",2019,4,
-127549.00,-202416.00,,475687.00,,,1064.00,565588.00,1044724.00,237534.00,85794.00,,173580.00,111849.00,55465.00,554814.00,1247140.00,-279586.00,20107,"FX","Federal Express Corporation","Federal Express Corporation","16197","P",2019,1,
-123345.00,-116712.00,,101686.00,,,10345.00,169446.00,281477.00,31482.00,13603.00,,94441.00,33169.00,13872.00,202345.00,398189.00,-130189.00,20107,"FX","Federal Express Corporation","Federal Express Corporation","16195","L",2019,2,
-118206.44,-118206.44,349171.57,39117.94,23019.05,13693.31,52462.91,14415.61,499147.14,233281.21,81559.82,60146.74,76754.05,92836.44,36660.86,2467.32,617353.57,-118206.44,19805,"AA","American Airlines Inc.","American Airlines Inc.","10052","P",2019,4,
-111016.00,-115850.00,,86469.00,,,9878.00,167273.00,263620.00,28198.00,11456.00,,91705.00,29499.00,11800.00,198203.00,379470.00,-134052.00,20107,"FX","Federal Express Corporation","Federal Express Corporation","16195","L",2019,1,
-102958.99,-127562.57,0.00,73892.37,0.00,0.00,11486.77,0.00,85379.14,112323.04,46119.84,0.00,23855.62,10924.65,19289.92,0.00,212941.71,-129113.38,19917,"5X","United Parcel Service","United Parcel Service","16911","A",2019,1,
-95664.36,-126503.67,0.00,75990.44,0.00,0.00,13142.76,0.00,89133.20,118014.70,44396.90,0.00,22761.87,9467.21,20566.06,0.00,215636.87,-128633.72,19917,"5X","United Parcel Service","United Parcel Service","16911","A",2019,2,
-93486.56,-116001.28,0.00,927476.19,0.00,0.00,37402.17,-88.79,964789.56,577484.14,224810.99,0.00,133429.89,47282.83,95880.53,0.00,1080790.85,-127875.39,19917,"5X","United Parcel Service","United Parcel Service","06910","D",2019,4,
-93458.00,-108356.00,,111889.00,,,9248.00,174334.00,295471.00,38862.00,9943.00,,90907.00,38751.00,12965.00,202308.00,403827.00,-110399.00,20107,"FX","Federal Express Corporation","Federal Express Corporation","16195","L",2019,4,
-93340.74,-93340.74,353775.14,40447.58,22764.85,13587.64,47227.81,13705.23,497413.84,230806.40,71187.77,59362.32,73351.51,89469.49,32690.40,2596.23,590754.58,-93340.74,19805,"AA","American Airlines Inc.","American Airlines Inc.","10052","P",2019,2,
-89835.61,-89835.61,367131.72,36532.38,21407.85,12992.93,44536.16,12365.22,500364.57,225560.21,70772.18,58587.11,71640.42,97317.09,32200.12,2555.03,590200.17,-89835.61,19805,"AA","American Airlines Inc.","American Airlines Inc.","10052","P",2019,3,
-89518.95,-89518.95,673246.69,81023.10,33029.94,21391.79,73039.93,20062.90,915071.39,400842.02,124077.63,97056.23,121067.95,150560.76,56026.44,3882.04,1004590.34,-89518.95,19805,"AA","American Airlines Inc.","American Airlines Inc.","10049","A",2019,1,
