net_income,op_profit_loss,trans_rev_pax,prop_freight,prop_bag,res_cancel_fees,misc_op_rev,trans_revenue,op_revenues,flying_ops,maintenance,pax_service,aircft_services,general_admin,deprec_amort,trans_expenses,op_expenses,income_pre_tax,airline_id,unique_carrier,unique_carrier_name,carrier_name,unique_carrier_entity,region,year,quarter
-118206.44,-118206.44,349171.57,39117.94,23019.05,13693.31,52462.91,14415.61,499147.14,233281.21,81559.82,60146.74,76754.05,92836.44,36660.86,2467.32,617353.57,-118206.44,19805,AA,American Airlines Inc.,American Airlines Inc.,10052,P,2019,4
-93340.74,-93340.74,353775.14,40447.58,22764.85,13587.64,47227.81,13705.23,497413.84,230806.4,71187.77,59362.32,73351.51,89469.49,32690.4,2596.23,590754.58,-93340.74,19805,AA,American Airlines Inc.,American Airlines Inc.,10052,P,2019,2
-89835.61,-89835.61,367131.72,36532.38,21407.85,12992.93,44536.16,12365.22,500364.57,225560.21,70772.18,58587.11,71640.42,97317.09,32200.12,2555.03,590200.17,-89835.61,19805,AA,American Airlines Inc.,American Airlines Inc.,10052,P,2019,3
-89518.95,-89518.95,673246.69,81023.1,33029.94,21391.79,73039.93,20062.9,915071.39,400842.02,124077.63,97056.23,121067.95,150560.76,56026.44,3882.04,1004590.34,-89518.95,19805,AA,American Airlines Inc.,American Airlines Inc.,10049,A,2019,1
-83894.23,-83894.23,947115.41,82993.04,48200.25,29498.8,109586.02,30065.65,1262688.06,521143.49,175548.7,129407.54,165144.29,199286.63,78848.37,5340.71,1346582.29,-83894.23,19805,AA,American Airlines Inc.,American Airlines Inc.,10049,A,2019,4
-79097.15,-79097.15,387789.23,40848.76,24159.58,15762.59,53660.62,14797.6,543736.24,237272.71,79270.74,62044.02,77397.26,95893.86,35870.21,2469.38,622833.39,-79097.15,19805,AA,American Airlines Inc.,American Airlines Inc.,10052,P,2019,1
-70317.11,-78662.88,1051126.01,107326.22,5931.28,20349.99,417.32,58118.22,1265503.84,521924.54,94686.33,170789.24,168228.55,152895.17,111684.52,26312.62,1344166.71,-94316.44,19977,UA,United Air Lines Inc.,United Air Lines Inc.,10877,P,2019,4
-26889.75,-755,1048333.37,91881.6,37871.07,23620.95,274.26,60567.87,1280582.47,513419.63,93374.61,176228.52,178752.35,102519.34,105497.51,22734.05,1281337.46,-42368.03,19977,UA,United Air Lines Inc.,United Air Lines Inc.,10877,P,2019,1
-22249.5,-21522.05,165805.76,0,0,0,0,0,165805.76,81088.67,69004.18,18790.32,1003.15,14722.06,2719.43,0,187327.81,-22249.5,20363,9E,Endeavor Air Inc.,Endeavor Air Inc.,07024,D,2019,4
-19378.28,-20393.18,202536.51,0,0,0,-0.21,0,202536.3,124348.34,47718.41,17748.27,9593.37,17752.52,5768.58,0,222929.49,-21380.03,20397,OH,PSA Airlines Inc.,PSA Airlines Inc.,07028,D,2019,4
-18919.86,-16705.31,67746.54,0,0,0,0,23.24,67769.77,45251.47,22893.79,3806.15,1091.75,5879.02,5535.02,17.88,84475.08,-18645.56,20046,ZW,Air Wisconsin Airlines Corp,Air Wisconsin Airlines Corp,06024,D,2019,3
-17935.87,-17374.11,154469.24,0,0,0,0,0,154469.24,79698.48,57096.91,18408.56,761.04,14168.92,1709.43,0,171843.35,-17935.87,20363,9E,Endeavor Air Inc.,Endeavor Air Inc.,07024,D,2019,1
-16631.65,-16036.42,161108.43,0,0,0,0,0,161108.43,78910.43,60468.42,19227.75,1170.55,14818.94,2548.74,0,177144.85,-16656.49,20363,9E,Endeavor Air Inc.,Endeavor Air Inc.,07024,D,2019,3
-8880.92,-11915.7,343923.92,0,0,0,78.93,22.45,344025.3,124602.15,71524.56,17279.35,81816.76,55185.37,5387.25,13.48,355941,-11691.44,20398,MQ,Envoy Air,Envoy Air,06820,D,2019,3
-8569.87,614.74,345850.48,0,0,0,76.21,22.47,345949.16,122299.47,71699.23,15205.88,80330.88,49821.59,5878.89,20.49,345334.42,696.6,20398,MQ,Envoy Air,Envoy Air,06820,D,2019,4
-8411.95,-8082.28,164853.74,0,0,0,0,0,164853.74,75450,64076.95,17298.41,912.25,13437.08,1761.34,0,172936.02,-8411.95,20363,9E,Endeavor Air Inc.,Endeavor Air Inc.,07024,D,2019,2
-5585.69,-6840.88,61498.81,0,0,0,0,40.72,61539.52,29765.64,22822.2,3701.34,1108.22,6176.11,4768.48,38.43,68380.4,-5491.46,20046,ZW,Air Wisconsin Airlines Corp,Air Wisconsin Airlines Corp,06024,D,2019,1
-5483.67,-6365.85,204403.78,0,0,0,0.68,0,204404.47,116646.16,46218.39,16521.56,8164.93,17857.22,5362.05,0,210770.32,-7210.86,20397,OH,PSA Airlines Inc.,PSA Airlines Inc.,07028,D,2019,3
-5105,-4185,83009,-90,4388,3196,0,0,90677,40018,10139,9427,15770,8087,5091,0,94861,-4881,19930,AS,Alaska Airlines Inc.,Alaska Airlines Inc.,16031,L,2019,1
-5076.31,-5083.02,51547.41,0,0,0,0,7.86,51555.27,15403.41,26149.05,6456.64,4144.64,3980.76,479.06,0,56638.29,-5076.31,21167,CP (2),Compass Airlines,Compass Airlines,01131,D,2019,4
-5050.56,778.32,152121.56,5290.26,6679.95,1804.4,1708.73,10871.95,178587.18,69025.77,20477.64,20195.7,23846.34,18258.95,9728.24,1214.06,177808.86,-552.74,19690,HA,Hawaiian Airlines Inc.,Hawaiian Airlines Inc.,15375,P,2019,1
-2917.99,-2955.19,57839.52,0,0,0,0,4.31,57843.83,19860.35,23540.05,7848.99,4967.9,4084.05,472.96,0,60799.02,-2917.99,21167,CP (2),Compass Airlines,Compass Airlines,01131,D,2019,1
-2697.63,-2483.46,67059.53,0,0,0,0,21.56,67081.09,30615.67,23395.64,3843.6,1046.19,5574.98,5063.56,24.91,69564.55,-2652.12,20046,ZW,Air Wisconsin Airlines Corp,Air Wisconsin Airlines Corp,06024,D,2019,2
-1747.48,-1735.18,0,0,0,0,267.49,0,4743.77,1692.57,2552.24,578.75,494.33,790.91,329.72,0,6478.95,-1747.48,20310,WL,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines","Caribbean Sun Airlines, Inc. d/b/a World Atlantic",06076,D,2019,3
-1470.6,34060,1082993.88,90162.58,5708.37,22085.97,23.94,58254.24,1279412.55,497494.93,85545.27,161287.83,160152.47,123128.17,101383.52,23193.61,1245352.55,-3337.26,19977,UA,United Air Lines Inc.,United Air Lines Inc.,10877,P,2019,3
-1164.99,-1156.79,0,0,0,0,178.32,0,3162.51,1128.38,1701.49,385.84,329.55,527.27,219.81,0,4319.3,-1164.99,20310,WL,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines","Caribbean Sun Airlines, Inc. d/b/a World Atlantic",16076,I,2019,3
-937.54,-937.54,0,0,0,0,0,0,22.88,378.26,112.07,0,0,0,0,0,960.42,-937.54,20207,XP,TEM Enterprises dba  Avelo Airlines,XTRA Airways,06144,D,2019,1
-778.79,-186.22,16194.33,0,1928.26,166.72,12.06,237.73,22211.57,9476.86,1584.96,1357.04,4304.94,3087.17,1067.66,100.34,22397.79,-778.79,20422,SY,Sun Country Airlines d/b/a MN Airlines,Sun Country Airlines d/b/a MN Airlines,16795,L,2019,2
-662.16,-662.16,0,0,0,0,0,0,332.54,338.84,118.3,0,0,0,0,0,994.7,-662.16,20207,XP,TEM Enterprises dba  Avelo Airlines,XTRA Airways,06144,D,2019,2
-604.3,9247.06,151749.95,5364.87,6905.88,1738.51,2073.45,10991.52,180328,68862.63,15701.6,19363.35,22959.44,19422.85,9350.29,1148.3,171080.94,6394.77,19690,HA,Hawaiian Airlines Inc.,Hawaiian Airlines Inc.,15375,P,2019,2
-560.07,-560.07,0,0,0,0,0,0,544.04,356.08,161.75,0,0,0,0,0,1104.11,-560.07,20207,XP,TEM Enterprises dba  Avelo Airlines,XTRA Airways,06144,D,2019,3
-487.37,-487.37,0,0,0,0,0,0,773.22,347.65,252.46,0,0,0,0,0,1260.59,-487.37,20207,XP,TEM Enterprises dba  Avelo Airlines,XTRA Airways,06144,D,2019,4
-234.58,-227.23,2020.23,0,0,0,0,0,2020.23,1042.34,746.74,240.76,9.95,185.31,22.36,0,2247.46,-234.58,20363,9E,Endeavor Air Inc.,Endeavor Air Inc.,11027,L,2019,1
-223,10802,109379,4,0,0,169,0,109552,18728,25154,7575,6815,21100,19377,0,98750,4701,19687,QX,Horizon Air,Horizon Air,06580,D,2019,4
-218.49,-293.15,8461.29,0,0,0,1.94,0.55,8463.78,3065.49,1759.66,425.11,2012.87,1357.68,132.54,0.33,8756.93,-287.64,20398,MQ,Envoy Air,Envoy Air,16820,L,2019,3
-201.09,14.43,8115.15,0,0,0,1.79,0.53,8117.47,2869.68,1682.38,356.8,1884.91,1169.03,137.94,0.48,8103.05,16.35,20398,MQ,Envoy Air,Envoy Air,16820,L,2019,4
-156.84,-151.23,1519.29,0,0,0,0,0,1519.29,744.14,570.23,181.32,11.04,139.75,24.04,0,1670.52,-157.07,20363,9E,Endeavor Air Inc.,Endeavor Air Inc.,11027,L,2019,3
-143.24,-138.56,1067.44,0,0,0,0,0,1067.44,522.04,444.24,120.97,6.46,94.78,17.51,0,1206,-143.24,20363,9E,Endeavor Air Inc.,Endeavor Air Inc.,11027,L,2019,4
-118.37,-113.73,2319.73,0,0,0,0,0,2319.73,1061.69,901.66,243.41,12.84,189.08,24.79,0,2433.46,-118.37,20363,9E,Endeavor Air Inc.,Endeavor Air Inc.,11027,L,2019,2
-104.85,56.66,0,0,0,0,451.26,0,4806.03,1413.32,1670.62,295.83,441.44,628.03,248.51,0,4749.37,-104.85,20310,WL,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines","Caribbean Sun Airlines, Inc. d/b/a World Atlantic",06076,D,2019,1
-89.32,48.26,0,0,0,0,384.4,0,4094.03,1203.94,1423.12,252.01,376.04,534.99,211.69,0,4045.76,-89.32,20310,WL,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines","Caribbean Sun Airlines, Inc. d/b/a World Atlantic",16076,I,2019,1
-34.95,-34.99,354.85,0,0,0,0,0.05,354.91,106.04,180.01,44.45,28.53,27.4,3.3,0,389.9,-34.95,21167,CP (2),Compass Airlines,Compass Airlines,11015,L,2019,4
-20.37,-20.63,403.74,0,0,0,0,0.03,403.77,138.63,164.32,54.79,34.68,28.51,3.3,0,424.4,-20.37,21167,CP (2),Compass Airlines,Compass Airlines,11015,L,2019,1
-0.45,-0.65,40.52,0,0,0,0,0,40.52,22.89,8.31,3.55,1.89,3.51,1.01,0,41.17,-0.85,20397,OH,PSA Airlines Inc.,PSA Airlines Inc.,11030,L,2019,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19687,QX,Horizon Air,Horizon Air,11023,L,2019,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19687,QX,Horizon Air,Horizon Air,11023,L,2019,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19687,QX,Horizon Air,Horizon Air,11023,L,2019,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19687,QX,Horizon Air,Horizon Air,11023,L,2019,3
0.7,0.51,376.89,0,0,0,0,0.02,376.91,120.03,145.7,49.01,31.28,27.11,3.11,0,376.4,0.7,21167,CP (2),Compass Airlines,Compass Airlines,11015,L,2019,2
2.31,2.83,40.89,0,0,0,0,0,40.89,20.87,7.8,3.31,1.61,3.54,0.94,0,38.06,2.66,20397,OH,PSA Airlines Inc.,PSA Airlines Inc.,11030,L,2019,3
7.49,7.42,365.2,0,0,0,0,0.02,365.21,102.76,155.98,47.48,28,20.5,2.92,0,357.79,7.49,21167,CP (2),Compass Airlines,Compass Airlines,11015,L,2019,3
14.07,13.57,83.72,0,0,0,0,0,83.72,40.45,12.29,6.55,2.91,6.25,1.69,0,70.15,13.36,20397,OH,PSA Airlines Inc.,PSA Airlines Inc.,11030,L,2019,2
15.46,14.68,79.02,0,0,0,0,0,79.02,36.39,13.25,5.17,2.64,5.39,1.5,0,64.34,14.45,20397,OH,PSA Airlines Inc.,PSA Airlines Inc.,11030,L,2019,1
63.26,2374.85,13913.56,0,0,0,0,0,13913.56,4160.54,4285.64,665.29,72.04,860.48,1494.66,0,11538.7,1384.91,20378,YV,Mesa Airlines Inc.,Mesa Airlines Inc.,11022,L,2019,3
106.44,78.18,57574.09,0,0,0,0,3.55,57577.64,18336.18,22257.01,7486.03,4778.88,4141.59,475.03,0,57499.45,106.44,21167,CP (2),Compass Airlines,Compass Airlines,01131,D,2019,2
157.16,257.3,3752.71,0,0,0,0,25.39,3778.1,1947.4,810.9,299.69,97.85,173.78,189.87,0,3520.8,239.75,20304,OO,SkyWest Airlines Inc.,SkyWest Airlines Inc.,11025,L,2019,4
191.3,249.15,7331.85,0,0,0,2.39,0.54,7334.78,2520,1401.81,332.42,1697.39,1017.17,114.9,0.17,7085.63,252.19,20398,MQ,Envoy Air,Envoy Air,16820,L,2019,1
195.2,273.55,3828.52,0,0,0,0,26.15,3854.67,2115.37,759.31,305.45,104.93,186.61,107.98,0,3581.12,274.87,20304,OO,SkyWest Airlines Inc.,SkyWest Airlines Inc.,11025,L,2019,3
209.96,225.65,0,0,0,213.4,693.01,0,5567.71,1769.31,1852.65,371.18,488.51,552.89,193.07,0,5342.07,209.96,20310,WL,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines","Caribbean Sun Airlines, Inc. d/b/a World Atlantic",16076,I,2019,2
214.94,282.44,8005.18,0,0,0,3.21,0.52,8008.91,2709.36,1644.54,354.01,1789.9,1103.8,121.37,0.34,7726.47,284.98,20398,MQ,Envoy Air,Envoy Air,16820,L,2019,2
