"YEAR","QUARTER","MONTH","AIRLINE_ID","UNIQUE_CARRIER","UNIQUE_CARRIER_NAME","UNIQUE_CARRIER_ENTITY","REGION","CARRIER_NAME","SERVICE_CLASS","REV_PAX_ENP_110","REV_PAX_MILES_140","REV_PAX_MILES_COACH","REV_PAX_MILES_FIRST","REV_TON_MILES_240","REV_TON_MILES_FREIGHT_247","REV_TON_MILES_PAX_241","AVL_TON_MILES_280","AVL_SEAT_MILES_320","AVL_SEAT_MILES_FIRST","AVL_SEAT_MILES_COACH","REV_ACRFT_MILES_FLOWN_410","REV_ACRFT_MILES_SCH_430","REV_ACRFT_DEP_PERF_510","REV_ACRFT_HRS_AIRBORNE_610",
2021,1,1,21080,"04Q","Tradewind Aviation","01126","D","Tradewind Aviation","F",2923.00,567477.00,0.00,567477.00,56748.00,0.00,56748.00,176730.00,819616.00,819616.00,0.00,102452.00,102452.00,536.00,426.00,
2021,1,2,21080,"04Q","Tradewind Aviation","01126","D","Tradewind Aviation","F",835.00,163186.00,0.00,163186.00,16319.00,0.00,16319.00,61753.00,286392.00,286392.00,0.00,35799.00,35799.00,186.00,146.00,
2021,1,3,21080,"04Q","Tradewind Aviation","01126","D","Tradewind Aviation","F",482.00,91138.00,0.00,91138.00,9114.00,0.00,9114.00,44015.00,204128.00,204128.00,0.00,25516.00,25516.00,136.00,104.00,
2021,2,4,21080,"04Q","Tradewind Aviation","01126","D","Tradewind Aviation","F",943.00,188093.00,0.00,188093.00,18809.00,0.00,18809.00,71196.00,330184.00,330184.00,0.00,41273.00,41273.00,208.00,170.00,
2021,2,5,21080,"04Q","Tradewind Aviation","01126","D","Tradewind Aviation","F",1706.00,344602.00,0.00,344602.00,34460.00,0.00,34460.00,107802.00,499952.00,499952.00,0.00,62494.00,62494.00,314.00,258.00,
2021,2,6,21080,"04Q","Tradewind Aviation","01126","D","Tradewind Aviation","F",2363.00,467300.00,0.00,467300.00,46730.00,0.00,46730.00,129130.00,598864.00,598864.00,0.00,74858.00,74858.00,386.00,315.00,
2021,3,7,21080,"04Q","Tradewind Aviation","01126","D","Tradewind Aviation","F",3835.00,744181.00,0.00,744181.00,74418.00,0.00,74418.00,199065.00,923200.00,923200.00,0.00,115400.00,115400.00,605.00,495.00,
2021,3,8,21080,"04Q","Tradewind Aviation","01126","D","Tradewind Aviation","F",3082.00,587828.00,0.00,587828.00,58783.00,0.00,58783.00,178413.00,827424.00,827424.00,0.00,103428.00,103428.00,549.00,432.00,
2021,3,9,21080,"04Q","Tradewind Aviation","01126","D","Tradewind Aviation","F",1226.00,231355.00,0.00,231355.00,23136.00,0.00,23136.00,76240.00,353576.00,353576.00,0.00,44197.00,44197.00,233.00,183.00,
2021,4,10,21080,"04Q","Tradewind Aviation","01126","D","Tradewind Aviation","F",1149.00,232218.00,0.00,232218.00,23222.00,0.00,23222.00,70325.00,326144.00,326144.00,0.00,40768.00,40768.00,203.00,165.00,
2021,4,11,21080,"04Q","Tradewind Aviation","01126","D","Tradewind Aviation","F",3455.00,697264.00,0.00,697264.00,69726.00,0.00,69726.00,190940.00,885520.00,885520.00,0.00,110690.00,110690.00,556.00,464.00,
2021,1,1,21253,"3E","Multi-Aero, Inc. d/b/a Air Choice One","01145","D","Multi-Aero, Inc. d/b/a Air Choice One","F",1801.00,408572.00,0.00,408572.00,40857.00,0.00,40857.00,171798.00,1552160.00,1552160.00,0.00,194020.00,209654.00,872.00,1174.00,
