year,quarter,month,airline_id,unique_carrier,unique_carrier_name,unique_carrier_entity,region,carrier_name,service_class,rev_pax_enp_110,rev_pax_miles_140,rev_pax_miles_first,rev_ton_miles_240,rev_ton_miles_freight_247,rev_ton_miles_pax_241,avl_ton_miles_280,avl_seat_miles_320,avl_seat_miles_first,rev_acrft_miles_flown_410,rev_acrft_miles_sch_430,rev_acrft_dep_perf_510,rev_acrft_hrs_airborne_610
2019,1,1,21167,CP (2),Compass Airlines,01131,D,Compass Airlines,F,502870,264499915,264499915,26449995,3,26449992,46626336,356357013,356357013,4689363,4740028,8947,11918
2019,1,2,21167,CP (2),Compass Airlines,01131,D,Compass Airlines,F,461566,246652193,246652193,24665219,0,24665219,40837661,312117235,312117235,4107177,4301346,7780,10530
2019,1,3,21167,CP (2),Compass Airlines,01131,D,Compass Airlines,F,601834,313407350,313407350,31340735,0,31340735,48573603,371244773,371244773,4885206,4899985,9564,12444
2019,2,4,21167,CP (2),Compass Airlines,01131,D,Compass Airlines,F,563750,295894429,295894429,29589443,0,29589443,47314611,361598007,361598007,4758585,4766431,9216,12020
2019,2,5,21167,CP (2),Compass Airlines,01131,D,Compass Airlines,F,603130,314585601,314585601,31458560,0,31458560,48859126,373395797,373395797,4913922,4922866,9582,12425
2019,2,6,21167,CP (2),Compass Airlines,01131,D,Compass Airlines,F,607493,320496988,320496988,32049699,0,32049699,48545216,371005698,371005698,4882351,4886000,9400,12231
2019,3,7,21167,CP (2),Compass Airlines,01131,D,Compass Airlines,F,613234,325939718,325939718,32593972,0,32593972,49997262,382113040,382113040,5028388,5036386,9619,12453
2019,3,8,21167,CP (2),Compass Airlines,01131,D,Compass Airlines,F,591500,312170204,312170204,31217020,0,31217020,49603241,379105662,379105662,4988760,5000243,9558,12373
2019,3,9,21167,CP (2),Compass Airlines,01131,D,Compass Airlines,F,489292,253827316,253827316,25382732,0,25382732,41424994,316597369,316597369,4166247,4182307,8024,10395
2019,4,10,21167,CP (2),Compass Airlines,01131,D,Compass Airlines,F,486605,244165321,244165321,24416532,0,24416532,40300669,308015384,308015384,4053170,4146103,8161,10204
2019,4,11,21167,CP (2),Compass Airlines,01131,D,Compass Airlines,F,392748,210681592,210681592,21068159,0,21068159,34673090,264952040,264952040,3487186,3496259,6564,8745
2019,4,12,21167,CP (2),Compass Airlines,01131,D,Compass Airlines,F,375748,215392150,215392150,21539215,0,21539215,33488531,255915900,255915900,3368051,3376238,5931,8419
2019,1,1,19790,DL,Delta Air Lines Inc.,01260,D,Delta Air Lines Inc.,F,9339555,9145104445,9145104445,945815820,17773760,914510445,1507148183,11332973144,11332973144,67058477,67223886,74573,152936
